지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
군위,2017-01-01 0:00,-3.3,0,0.2,0,1019.6,1030.3,94.2,0,0
군위,2017-01-01 1:00,-3.5,69.8,0.6,0,1020.2,1030.9,94.6,0,0
군위,2017-01-01 2:00,-2.9,207.2,0.7,0,1020.2,1030.8,94.2,0,0
군위,2017-01-01 3:00,-2.7,0,0.4,0,1020.2,1030.8,93.9,0,0
군위,2017-01-01 4:00,-3.5,65.6,0.5,0,1020,1030.7,94,0,0
군위,2017-01-01 5:00,-4.4,0,0.2,0,1019.9,1030.6,94.2,0,0
군위,2017-01-01 6:00,-5.2,247.7,0.6,0,1019.5,1030.2,94.1,0,0
군위,2017-01-01 7:00,-5.1,0,0.4,0,1019.5,1030.2,94.2,0,0
군위,2017-01-01 8:00,-5.1,0,0.2,0,1020.2,1030.9,93.8,0,0
군위,2017-01-01 9:00,-3.4,226.5,0.6,0,1021,1031.7,93.8,0,0
군위,2017-01-01 10:00,-1.3,0,0.1,0,1021.2,1031.8,92.3,0,0
군위,2017-01-01 11:00,1.6,0,0.4,0,1021,1031.5,83.8,0,0
군위,2017-01-01 12:00,5.9,213.5,1.1,0,1019.9,1030.2,65.3,0,0
군위,2017-01-01 13:00,7.8,317,1.2,0,1018.9,1029.1,58,0,0
군위,2017-01-01 14:00,9.5,233.3,1.2,0,1017.5,1027.6,50.4,0,0
군위,2017-01-01 15:00,8.2,1,3.2,0,1017.2,1027.4,55.3,0,0
군위,2017-01-01 16:00,8.2,12.7,1.7,0,1017.1,1027.3,54.4,0,0
군위,2017-01-01 17:00,5.3,246.7,0.8,0,1016.8,1027.1,65.7,0,0
군위,2017-01-01 18:00,2.3,0,0.3,0,1016.7,1027.1,79.7,0,0
군위,2017-01-01 19:00,1.3,52.4,1,0,1016.7,1027.1,86.1,0,0
군위,2017-01-01 20:00,-0.2,124.4,0.6,0,1016.5,1027,89.7,0,0
군위,2017-01-01 21:00,-0.7,0,0.1,0,1016.1,1026.6,90.9,0,0
군위,2017-01-01 22:00,-1.6,0,0.1,0,1015.5,1026,92.3,0,0
군위,2017-01-01 23:00,-2.3,0,0.1,0,1014.9,1025.5,93.8,0,0
군위,2017-01-02 0:00,-2.5,0,0.2,0,1014.9,1025.5,94.1,0,0
