지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
포천,2017-01-01 0:00,-2.7,0,0.1,0,,,72.7,0,0
포천,2017-01-01 1:00,-3.6,195.7,0.8,0,,,73,0,0
포천,2017-01-01 2:00,-3.2,68.8,0.8,0,,,73.6,0,0
포천,2017-01-01 3:00,-3,203.9,0.8,0,,,73.2,0,0
포천,2017-01-01 4:00,-3.5,0,0,0,,,73.3,0,0
포천,2017-01-01 5:00,-4.4,0,0,0,,,73.6,0,0
포천,2017-01-01 6:00,-5,325.9,1.2,0,,,73.9,0,0
포천,2017-01-01 7:00,-5.5,0,0,0,,,73.3,0,0
포천,2017-01-01 8:00,-5.3,0,0,0,,,73.1,0,0
포천,2017-01-01 9:00,-3.8,0,0.1,0,,,73.3,0,0
포천,2017-01-01 10:00,-1.9,0,0,0,,,73.1,0,0
포천,2017-01-01 11:00,0.3,64.7,0.6,0,,,68.4,0,0
포천,2017-01-01 12:00,3,0,0.2,0,,,58.3,0,0
포천,2017-01-01 13:00,5.2,206.3,1.1,0,,,51.6,0,0
포천,2017-01-01 14:00,5.8,202.6,1,0,,,49.2,0,0
포천,2017-01-01 15:00,5.7,197.8,1.8,0,,,51.3,0,0
포천,2017-01-01 16:00,5.6,203.8,1.6,0,,,51.4,0,0
포천,2017-01-01 17:00,5.1,0,0.2,0,,,53.8,0,0
포천,2017-01-01 18:00,3.3,326.3,1.4,0,,,61.5,0,0
포천,2017-01-01 19:00,2.8,0,0.1,0,,,63.5,0,0
포천,2017-01-01 20:00,1.7,0,0.1,0,,,68.3,0,0
포천,2017-01-01 21:00,1.8,31.7,1.1,0,,,68,0,0
포천,2017-01-01 22:00,1.1,196.1,0.9,0,,,71,0,0
포천,2017-01-01 23:00,1.3,337.6,1,0,,,69.3,0,0
포천,2017-01-02 0:00,1.5,0,0.3,0,,,70.1,0,0
포천,2017-01-02 1:00,1.5,55.8,0.6,0,,,69.6,0,0
포천,2017-01-02 2:00,1.3,0,0.3,0,,,70.2,0,0
포천,2017-01-02 3:00,1.5,0,0.2,0,,,71.9,0,0
포천,2017-01-02 4:00,2,171.1,0.7,0,,,71.3,0,0
포천,2017-01-02 5:00,1.8,308.9,0.8,0,,,71.4,0,0
포천,2017-01-02 6:00,2.1,342.4,0.5,0,,,72.8,0,0
포천,2017-01-02 7:00,2.2,58.1,0.6,0,,,69.1,0,0
포천,2017-01-02 8:00,2.7,213,0.8,0,,,68.1,0,0
포천,2017-01-02 9:00,3.3,217.9,1.1,0,,,68.8,0,0
포천,2017-01-02 10:00,4.2,211.2,1.1,0,,,65.5,0,0
포천,2017-01-02 11:00,5,201.7,1.5,0,,,62.5,0,0
포천,2017-01-02 12:00,6.3,196.8,1.9,0,,,58.6,0,0
포천,2017-01-02 13:00,8.3,247.3,3.1,0,,,45.4,0,0
포천,2017-01-02 14:00,8.4,244.4,3.6,0,,,40.8,0,0
포천,2017-01-02 15:00,8.9,248.4,3.9,0,,,37.5,0,0
