기준연월,지역명,체류시간
202201,전국 기초지자체별 평균,223.0
202201,양양군,281.0
202202,전국 기초지자체별 평균,212.0
202202,양양군,252.0
202203,전국 기초지자체별 평균,215.0
202203,양양군,256.0
202204,전국 기초지자체별 평균,199.0
202204,양양군,290.0
202205,전국 기초지자체별 평균,191.0
202205,양양군,270.0
202206,전국 기초지자체별 평균,206.0
202206,양양군,331.0
202207,전국 기초지자체별 평균,214.0
202207,양양군,392.0
202208,전국 기초지자체별 평균,210.0
202208,양양군,386.0
202209,전국 기초지자체별 평균,213.0
202209,양양군,336.0
202210,전국 기초지자체별 평균,191.0
202210,양양군,290.0
202211,전국 기초지자체별 평균,196.0
202211,양양군,290.0
202212,전국 기초지자체별 평균,204.0
202212,양양군,328.0
