광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경상북도,포항시 북구,910945.0
경상북도,울진군,470134.0
경상북도,안동시,447364.0
경상북도,포항시 남구,404787.0
경상북도,구미시,257830.0
경상북도,경주시,242758.0
경상북도,경산시,196769.0
경상북도,청송군,148411.0
경상북도,울릉군,124251.0
경상북도,영양군,107946.0
경상북도,상주시,97694.0
경상북도,예천군,91810.0
경상북도,의성군,81962.0
경상북도,김천시,81743.0
경상북도,영주시,76863.0
경상북도,영천시,69561.0
경상북도,칠곡군,63504.0
경상북도,문경시,46465.0
경상북도,성주군,22021.0
경상북도,청도군,16166.0
경상북도,봉화군,14386.0
경상북도,고령군,13640.0
대구광역시,북구,281668.0
대구광역시,달서구,275064.0
대구광역시,수성구,224519.0
대구광역시,동구,217573.0
대구광역시,달성군,130051.0
대구광역시,서구,71266.0
대구광역시,남구,70052.0
대구광역시,중구,44174.0
대구광역시,군위군,23097.0
경기도,화성시,58397.0
경기도,평택시,38519.0
경기도,남양주시,37892.0
경기도,부천시,34941.0
경기도,용인시 기흥구,30589.0
경기도,성남시 분당구,28357.0
경기도,광주시,27405.0
경기도,수원시 영통구,23098.0
경기도,수원시 권선구,21815.0
경기도,김포시,21806.0
경기도,시흥시,21801.0
경기도,용인시 수지구,20200.0
경기도,용인시 처인구,20147.0
경기도,의정부시,19971.0
경기도,이천시,19947.0
경기도,고양시 덕양구,19303.0
경기도,하남시,19056.0
경기도,파주시,17225.0
경기도,안양시 동안구,16718.0
경기도,안성시,16280.0
경기도,안산시 상록구,15875.0
경기도,안산시 단원구,15442.0
경기도,성남시 수정구,14219.0
경기도,오산시,14211.0
경기도,고양시 일산동구,14088.0
경기도,수원시 장안구,13466.0
경기도,고양시 일산서구,12671.0
경기도,구리시,12651.0
경기도,군포시,12109.0
경기도,양주시,11870.0
경기도,광명시,11206.0
경기도,안양시 만안구,10813.0
경기도,수원시 팔달구,10648.0
경기도,여주시,10595.0
경기도,성남시 중원구,10238.0
경기도,의왕시,8894.0
경기도,양평군,8112.0
경기도,포천시,7922.0
경기도,과천시,4499.0
경기도,가평군,4495.0
경기도,동두천시,3377.0
경기도,연천군,1929.0
부산광역시,해운대구,73254.0
부산광역시,부산진구,55496.0
부산광역시,북구,50810.0
부산광역시,동래구,50101.0
부산광역시,남구,46782.0
부산광역시,사하구,45380.0
부산광역시,금정구,44304.0
부산광역시,기장군,39960.0
부산광역시,연제구,37798.0
부산광역시,수영구,33908.0
부산광역시,사상구,31022.0
부산광역시,강서구,23715.0
부산광역시,영도구,18836.0
부산광역시,서구,14056.0
부산광역시,동구,12709.0
부산광역시,중구,8177.0
서울특별시,송파구,37419.0
서울특별시,강남구,29205.0
서울특별시,강동구,25818.0
서울특별시,관악구,25078.0
서울특별시,강서구,24855.0
서울특별시,노원구,23612.0
서울특별시,서초구,20388.0
서울특별시,동작구,19721.0
서울특별시,성북구,18889.0
서울특별시,광진구,18843.0
서울특별시,마포구,18621.0
서울특별시,은평구,17853.0
서울특별시,영등포구,17629.0
서울특별시,동대문구,17564.0
서울특별시,중랑구,17109.0
서울특별시,서대문구,15773.0
서울특별시,양천구,15648.0
서울특별시,성동구,15008.0
서울특별시,구로구,14156.0
서울특별시,도봉구,12289.0
서울특별시,강북구,11582.0
서울특별시,종로구,10870.0
서울특별시,용산구,10678.0
서울특별시,금천구,10257.0
서울특별시,중구,5973.0
경상남도,김해시,85123.0
경상남도,양산시,76158.0
경상남도,거제시,34436.0
경상남도,창원시 성산구,32878.0
경상남도,창원시 의창구,28582.0
경상남도,창원시 진해구,26986.0
경상남도,진주시,25505.0
경상남도,창원시 마산회원구,22455.0
경상남도,창원시 마산합포구,19050.0
경상남도,밀양시,18259.0
경상남도,통영시,13087.0
경상남도,창녕군,10340.0
경상남도,거창군,10171.0
경상남도,합천군,8888.0
