순위,분류,관련 키워드,언급건수
1,기타가족,가족,22676
2,친구,친구,18826
3,싱글,혼자,10977
4,기타가족,엄마,10151
5,친구,친구들,9296
6,회사동료,직원,8257
7,배우자,남편,8086
8,부모님,아빠,6169
9,친구,지인,5433
10,부모님,부모,4850
11,기타가족,오빠,4656
12,연인,커플,4605
13,기타가족,언니,4550
14,부모님,부모님,4054
15,자녀,아들,3907
16,기타가족,동생,3848
17,기타가족,동서,3682
18,자녀,애들,3506
19,부모님,어머니,3437
20,부모님,아버지,3290
21,연인,연인,2912
22,부모님,할머니,2777
23,기타가족,이모,2692
24,기타가족,가정,2638
25,연인,남자친구,2338
26,자녀,학생,2162
27,싱글,싱글,2152
28,싱글,혼자서,2076
29,배우자,아내,1841
30,배우자,신랑,1797
31,회사동료,직원들,1792
32,자녀,청소년,1762
33,회사동료,대리,1537
34,학생,초등학생,1275
35,회사동료,부장,1254
36,자녀,자녀,1217
37,기타가족,패밀리,1195
38,싱글,홀로,1178
39,부모님,할아버지,1086
40,부모님,엄빠,1050
41,기타가족,누나,1001
41,기타가족,형제,1001
43,친구,칭구,991
44,부모님,엄마아빠,950
44,자녀,딸,950
46,회사동료,동료,933
47,연인,남친,927
48,기타가족,조카,913
49,기타가족,막내,911
50,배우자,부인,882
51,기타가족,식구,876
52,학생,대학생,869
53,기타가족,장인,862
54,배우자,와이프,847
55,배우자,남편이랑,837
56,부모님,어머님,829
57,친구,프렌,807
58,학생,초딩,803
59,연인,여자친구,783
60,부모님,모녀,732
61,기타가족,자매,689
62,자녀,자식,632
63,회사동료,임원,626
64,기타가족,사촌,603
65,부모님,아부지,557
66,싱글,나혼자,538
67,기타가족,효자,510
68,학생,고등학생,465
69,기타가족,형님,464
70,기타가족,친척,462
71,기타가족,이모님,459
72,기타가족,형,456
73,부모님,아버님,437
74,기타가족,삼촌,430
75,기타가족,남매,424
76,친구,동창,418
77,배우자,배우자,394
78,기타가족,온가족,375
79,기타가족,며느리,372
79,배우자,신부,372
81,싱글,나홀로,368
82,기타가족,시댁,366
83,기타가족,장모,362
84,학생,중학생,352
85,친구,절친,328
86,기타가족,고모,325
87,연인,남친이,310
88,부모님,외할머니,306
89,자녀,딸아이,298
90,기타가족,사위,293
91,자녀,미성년자,289
92,부모님,시부,288
93,연인,여친,282
94,부모님,울엄마,280
94,학생,고딩,280
96,기타가족,손자,259
96,부모님,장모님,259
98,기타가족,형부,258
99,기타가족,남동생,252
100,자녀,아드님,242
101,회사동료,차장,235
102,부모님,시어머니,231
103,연인,애인,222
104,부모님,시부모,220
105,자녀,따님,218
106,자녀,장남,211
107,회사동료,사원,207
108,부모님,아비,200
109,기타가족,여동생,199
110,부모님,시부모님,196
111,기타가족,막둥이,194
112,부모님,어무니,192
113,부모님,할무니,187
114,자녀,딸래미,186
115,배우자,서방,184
116,부모님,장인어른,179
117,부모님,할매,175
118,기타가족,사촌동생,174
118,자녀,울애,174
120,부모님,친정엄마,173
121,기타가족,사돈,163
122,친구,룸메,159
123,기타가족,손녀,158
124,부모님,할머님,157
125,자녀,외동,154
126,자녀,울애기,152
127,학생,중딩,151
128,자녀,딸내미,147
129,학생,고3,146
130,부모님,시아버지,140
131,자녀,딸램,139
132,자녀,큰아들,121
133,자녀,우리딸,120
133,회사동료,직장동료,120
135,자녀,우리애,118
136,기타가족,손주,115
137,기타가족,이모님들,109
138,배우자,남편님,108
138,부모님,엄니,108
140,배우자,남펴니,100
140,자녀,워킹맘,100
142,자녀,우리아이,99
143,배우자,집사람,96
144,기타가족,외삼촌,95
144,자녀,큰아이,95
144,친구,베프,95
144,기타가족,효녀,95
148,부모님,조부모,94
149,기타가족,친지,93
150,배우자,남표니,90
151,연인,남치니,87
152,기타가족,친정식구,86
153,배우자,울신랑,85
154,연인,예랑,79
155,부모님,외할아버지,77
156,기타가족,시누,76
157,자녀,우리아들,75
157,자녀,큰애,75
159,자녀,큰딸,74
160,기타가족,친정식구들,73
160,학생,중2,73
162,배우자,마눌,68
162,학생,중3,68
164,배우자,남푠,67
165,자녀,아들래미,66
166,학생,중1,64
167,기타가족,올케,62
167,배우자,예랑이,62
169,학생,고2,59
169,부모님,할부지,59
171,부모님,시어머님,58
172,기타가족,처제,57
172,기타가족,혈육,57
174,자녀,아들램,55
174,회사동료,여직원,55
176,배우자,마누라,54
176,부모님,할아부지,54
178,기타가족,울언니,53
179,기타가족,시누이,52
179,부모님,할배,52
181,자녀,장녀,50
182,기타가족,새언니,48
182,자녀,우리아이들,48
184,배우자,주말부부,47
184,부모님,어무이,47
184,자녀,큰놈,47
187,배우자,마눌님,45
187,배우자,와이프님,45
187,자녀,둘째딸,45
190,학생,고삼,43
190,기타가족,덩생,43
192,부모님,시모,42
192,부모님,시아버님,42
194,기타가족,가족모두,41
194,자녀,아들내미,41
194,자녀,외동딸,41
197,기타가족,차남,40
197,자녀,울아들,40
197,회사동료,회사사람,40
197,자녀,울아드님,40
201,기타가족,시댁식구,39
201,배우자,애엄마,39
203,친구,남사친,38
204,연인,남친님,36
204,자녀,우리애들,36
204,학생,초1,36
204,기타가족,시댁식구들,36
208,친구,룸메이트,35
208,회사동료,회사동료,35
210,기타가족,태아,34
210,자녀,둥이들,34
212,자녀,맏아들,32
213,기타가족,숙부,31
213,배우자,아자씨,31
213,배우자,예신,31
213,자녀,아들녀석,31
217,배우자,마님,30
217,학생,초6,30
219,기타가족,손주들,29
219,학생,초3,29
221,싱글,독신,27
221,자녀,아들딸,27
221,학생,초2,27
221,연인,썸남,27
225,기타가족,시동생,26
226,기타가족,숙모,25
226,친구,프렌드,25
226,부모님,친정아빠,25
229,배우자,우리신랑,24
229,자녀,둘째아들,24
231,기타가족,외손자,22
231,친구,여사친,22
233,싱글,혼행,21
233,학생,초4,21
233,자녀,울아이,21
236,배우자,남의편,20
236,부모님,친정어머니,20
238,자녀,울아이들,19
239,기타가족,손자들,18
239,자녀,손녀딸,18
239,자녀,저희아이,18
239,학생,초5,18
243,부모님,증조부,17
243,연인,여친님,17
243,자녀,울딸,17
243,부모님,시엄마,17
247,부모님,시엄니,16
248,기타가족,맏며느리,15
248,배우자,새색시,15
248,연인,예비신랑,15
248,연인,예비신부,15
248,자녀,삼둥이,15
253,부모님,친정아버지,14
253,부모님,할아버님,14
253,자녀,울애들,14
253,자녀,저희애,14
253,자녀,차녀,14
258,자녀,첫째딸,13
258,자녀,첫째아이,13
258,배우자,영감님,13
258,배우자,저희남편,13
258,회사동료,회사직원,13
263,자녀,저희딸,12
263,배우자,애아빠,12
263,연인,남친몬,12
263,배우자,낭군님,12
263,자녀,직장맘,12
268,배우자,남푠님,11
268,자녀,맏딸,11
268,자녀,저희애들,11
268,자녀,첫째아들,11
268,자녀,외아들,11
268,자녀,둘째아이,11
274,자녀,딸냄,10
274,자녀,초보맘,10
274,부모님,시아빠,10
277,자녀,작은녀석,9
277,자녀,초보엄마,9
277,부모님,시아부지,9
277,부모님,양가부모님,9
281,자녀,저희아들,8
281,자녀,젖먹이,8
281,회사동료,직장상사,8
281,부모님,외할매,8
281,자녀,둥이맘,8
281,학생,재수생,8
281,부모님,시어미,8
281,자녀,외동아들,8
281,자녀,작은놈,8
290,기타가족,외손주,7
290,자녀,첫아이,7
290,연인,약혼자,7
290,친구,여행친구,7
290,부모님,외할무니,7
295,부모님,외할부지,6
295,부모님,시어른,6
295,기타가족,며늘,6
295,부모님,할멈,6
295,배우자,울서방,6
300,기타가족,사돈댁,5
300,배우자,저희신랑,5
300,부모님,외할머님,5
300,부모님,증조모,5
300,부모님,할마,5
300,연인,보이프렌드,5
300,연인,썸녀,5
300,기타가족,장손,5
308,회사동료,회사선배,4
308,기타가족,큰며느리,4
308,자녀,셋째아이,4
308,친구,여자사람친구,4
308,배우자,안사람,4
308,배우자,애들엄마,4
308,배우자,울랑,4
308,자녀,우리집애,4
308,배우자,아이아빠,4
308,부모님,외할배,4
318,기타가족,외손녀,3
318,부모님,외할버지,3
318,자녀,여식,3
318,자녀,일하는엄마,3
318,연인,걸프렌드,3
318,배우자,우리마눌,3
318,부모님,어머니아버지,3
318,싱글,싱글남,3
318,기타가족,손자손녀,3
318,배우자,애기아빠,3
318,배우자,울랑이,3
318,배우자,우리와이프,3
318,자녀,울집애,3
331,기타가족,시댁어른,2
331,부모님,함무니,2
331,싱글,싱글족,2
331,배우자,울와이프,2
331,기타가족,육촌,2
331,배우자,영감탱이,2
331,자녀,아들자식,2
331,자녀,외둥이,2
331,부모님,기러기아빠,2
331,연인,피앙세,2
331,배우자,애들아빠,2
331,싱글,나홀로족,2
331,부모님,친정아부지,2
331,싱글,혼자남,2
331,자녀,쌍둥이맘,2
331,회사동료,회사후배,2
331,기타가족,막내며느리,2
331,부모님,할버지,2
331,자녀,첫딸,2
331,친구,학교친구,2
351,기타가족,맏사위,1
351,자녀,울따님,1
351,배우자,아내느님,1
351,자녀,울둥이,1
351,배우자,울마눌,1
351,연인,피앙새,1
351,부모님,예비시엄마,1
351,부모님,외할아버님,1
351,부모님,셤니,1
351,기타가족,첫손주,1
351,연인,약혼녀,1
351,부모님,친정맘,1
