순위,분류,관련 키워드,언급건수
1,기타가족,가족,13473
2,친구,친구,6337
3,회사동료,직원,5674
4,친구,친구들,3680
5,친구,지인,3302
6,자녀,학생,3298
7,기타가족,엄마,2835
8,부모님,부모,2438
9,기타가족,가정,1977
10,싱글,혼자,1962
11,부모님,부모님,1918
12,회사동료,직원들,1773
13,기타가족,오빠,1561
14,배우자,남편,1477
15,부모님,아빠,1472
15,연인,연인,1472
17,기타가족,이모,1344
18,자녀,아들,1238
19,연인,남친,993
20,부모님,어머니,981
21,자녀,청소년,968
22,기타가족,동생,929
23,연인,커플,900
24,자녀,애들,898
25,회사동료,동료,831
26,부모님,아버지,821
27,부모님,할머니,818
28,기타가족,언니,781
29,자녀,자녀,654
30,배우자,신랑,609
31,자녀,둥이들,553
32,학생,초등학생,530
33,기타가족,동서,529
34,배우자,아내,465
34,회사동료,대리,465
36,회사동료,임원,455
37,싱글,혼자서,452
38,부모님,할아버지,444
39,기타가족,형제,434
39,기타가족,효자,434
41,기타가족,식구,383
42,싱글,홀로,377
43,연인,남자친구,372
44,부모님,시부,365
45,기타가족,장인,350
46,배우자,부인,344
47,기타가족,이모님,343
48,부모님,어머님,327
49,학생,대학생,306
50,자녀,딸,301
51,기타가족,온가족,286
52,기타가족,조카,282
53,자녀,자식,280
54,학생,고등학생,269
55,기타가족,막내,260
56,부모님,엄빠,255
57,기타가족,자매,254
58,기타가족,누나,246
59,연인,여자친구,237
60,기타가족,친척,228
61,부모님,아버님,224
62,부모님,엄마아빠,222
63,자녀,외동,217
64,기타가족,사촌,208
65,학생,중학생,204
66,회사동료,부장,202
67,기타가족,패밀리,199
68,배우자,와이프,196
69,배우자,남편이랑,190
70,부모님,할매,184
71,기타가족,며느리,181
71,기타가족,시댁,181
73,싱글,싱글,171
74,학생,초딩,169
75,기타가족,삼촌,164
76,부모님,아부지,154
77,기타가족,형님,153
78,친구,동창,147
78,친구,칭구,147
80,친구,절친,145
81,부모님,시어머니,136
82,기타가족,손자,127
83,배우자,배우자,125
84,부모님,할배,123
85,친구,프렌,122
86,기타가족,형,121
87,배우자,신부,118
88,기타가족,사위,116
89,배우자,새색시,113
89,학생,고3,113
89,회사동료,차장,113
92,기타가족,장모,110
93,기타가족,고모,105
94,싱글,나홀로,104
95,부모님,외할머니,103
96,기타가족,시동생,100
97,싱글,나혼자,98
98,기타가족,친지,96
98,배우자,서방,96
98,회사동료,사원,96
101,부모님,장모님,79
102,기타가족,손주,76
103,회사동료,여직원,74
104,부모님,시부모,73
104,연인,애인,73
106,기타가족,손녀,72
107,기타가족,남매,71
108,부모님,시부모님,65
109,부모님,친정엄마,64
109,자녀,아드님,64
109,자녀,큰아들,64
109,기타가족,형부,64
113,기타가족,남동생,63
114,연인,남친이,61
115,기타가족,막둥이,60
115,기타가족,여동생,60
115,부모님,아비,60
118,자녀,딸아이,58
119,기타가족,이모님들,53
119,부모님,조부모,53
119,자녀,큰아이,53
119,자녀,장남,53
123,자녀,딸내미,52
124,기타가족,사촌동생,51
124,기타가족,외삼촌,51
124,부모님,모녀,51
124,자녀,따님,51
124,자녀,딸래미,51
129,기타가족,손주들,50
130,자녀,딸램,49
130,자녀,우리아이,49
130,학생,고딩,49
133,부모님,울엄마,47
133,자녀,큰놈,47
135,학생,고삼,46
136,부모님,시어머님,41
137,기타가족,혈육,40
138,부모님,할무니,37
138,자녀,우리딸,37
140,연인,여친,36
140,자녀,큰딸,36
140,학생,초3,36
143,학생,중3,35
144,연인,남치니,34
145,기타가족,가족모두,33
145,배우자,집사람,33
147,기타가족,차남,32
147,부모님,외할아버지,32
149,부모님,어무니,31
149,배우자,남편님,31
151,배우자,남표니,30
151,자녀,미성년자,30
153,부모님,시아버지,29
154,기타가족,친정식구,28
154,학생,중딩,28
156,기타가족,시누,27
156,배우자,남푠,27
156,부모님,엄니,27
156,부모님,할머님,27
156,자녀,맏아들,27
156,자녀,우리아이들,27
162,기타가족,친정식구들,25
162,자녀,울애,25
162,자녀,장녀,25
162,회사동료,직장동료,25
162,자녀,우리애,25
162,학생,중2,25
168,배우자,마눌,23
168,부모님,시모,23
170,친구,룸메,22
171,기타가족,사돈,21
171,기타가족,태아,21
171,자녀,우리아들,21
174,기타가족,숙부,20
174,연인,썸남,20
176,자녀,울애기,19
177,배우자,마누라,18
177,부모님,어무이,18
177,부모님,친정아버지,18
177,부모님,장인어른,18
177,학생,중1,18
182,배우자,마눌님,17
182,배우자,우리신랑,17
182,친구,베프,17
182,자녀,둘째아들,17
186,배우자,울신랑,16
186,자녀,아들램,16
186,기타가족,숙모,16
186,배우자,남펴니,16
186,부모님,할부지,16
191,연인,예랑,15
191,자녀,워킹맘,15
191,부모님,할아부지,15
191,기타가족,장손,15
195,기타가족,외손녀,14
195,부모님,시아버님,14
195,기타가족,시댁식구,14
195,학생,고2,14
195,부모님,증조부,14
200,자녀,아들내미,13
200,자녀,아들래미,13
200,자녀,아들녀석,13
200,학생,초6,13
204,부모님,친정어머니,12
204,연인,남친님,12
204,기타가족,시댁식구들,12
204,기타가족,올케,12
204,기타가족,효녀,12
204,기타가족,처제,12
204,회사동료,회사동료,12
211,배우자,와이프님,11
211,부모님,친정아빠,11
211,자녀,저희아이,11
211,자녀,맏딸,11
211,친구,룸메이트,11
