기준년월,전체,자연관광,역사관광,체험관광,문화관광,레저스포츠,쇼핑,음식,숙박,기타관광
202201,153015,29037,23594,620,6915,8829,3693,39965,36532,3830
202202,149773,24430,21932,509,6705,9258,3440,42602,36731,4166
202203,97753,17576,12438,336,4053,7631,2444,26896,22991,3388
202204,172117,32412,20018,406,8876,14305,4457,45852,41530,4261
202205,234156,43499,26457,616,9217,22549,5113,63694,57382,5629
202206,261278,48897,24145,717,8413,27195,5646,70461,69279,6525
202207,348643,77639,23917,923,8236,39578,6775,93061,90502,8012
202208,452588,103987,30843,1256,11837,50532,8750,125898,110030,9455
202209,211055,42589,21214,603,6854,21159,6004,54576,51868,6188
202210,266261,57003,31103,1165,8904,18700,8079,67371,63336,10600
202211,144871,25053,19781,555,5663,10436,4505,37740,35736,5402
202212,146364,22629,18497,795,4621,7550,4328,41866,41233,4845
