기준년월,전체,자연관광,역사관광,체험관광,문화관광,레저스포츠,쇼핑,음식,숙박,기타관광
202201,60147,24557,378,113,9124,3108,3755,9258,6871,2983
202202,50245,18816,328,65,7716,2712,2875,8140,7203,2390
202203,28327,12034,124,29,3483,2410,1640,3793,3012,1802
202204,43520,17458,305,71,5862,3224,2442,5697,5671,2790
202205,58044,21758,537,85,7819,4180,3120,8759,7596,4190
202206,63351,23148,443,131,8518,4459,3252,9690,9857,3853
202207,80610,32165,631,108,8412,4319,3548,12676,14435,4316
202208,109404,43331,617,115,11462,5030,4830,20285,18720,5014
202209,49348,18922,471,80,5764,3554,2941,7390,6432,3794
202210,68027,24542,586,117,9468,4077,3636,11603,9635,4363
202211,45223,15885,448,93,6232,3208,2670,7741,5596,3350
202212,49830,16658,476,123,6400,3094,3278,9800,7312,2689
