시도,군구,관광지,내/외국인,총계(2022.01 ~ 2022.12),2022년,,,,,,,,,,,,,
,,,,,인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월,
강원특별자치도,양양군,낙산사,내국인,"1,193,348","1,193,348","110,603","95,356","47,530","82,879","112,172","104,600","100,172","123,667","96,173","149,149","94,146","76,901",
강원특별자치도,양양군,낙산사,외국인,"3,907","3,907",233,164,119,244,376,405,399,424,488,351,423,281,
강원특별자치도,양양군,낙산사,합계,"1,197,255","1,197,255","110,836","95,520","47,649","83,123","112,548","105,005","100,571","124,091","96,661","149,500","94,569","77,182",
강원특별자치도,양양군,미천골자연휴양림,내국인,"29,334","29,334",171,170,116,384,"4,738","6,998","1,283",967,346,"8,305","3,777","2,079",
강원특별자치도,양양군,미천골자연휴양림,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
강원특별자치도,양양군,미천골자연휴양림,합계,"29,334","29,334",171,170,116,384,"4,738","6,998","1,283",967,346,"8,305","3,777","2,079",
강원특별자치도,양양군,설악산국립공원(남설악) ,내국인,"60,920","60,920","3,171","2,950",208,0,"6,277","6,976","4,174","3,906","7,567","21,905","2,306","1,480",
강원특별자치도,양양군,설악산국립공원(남설악) ,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
강원특별자치도,양양군,설악산국립공원(남설악) ,합계,"60,920","60,920","3,171","2,950",208,0,"6,277","6,976","4,174","3,906","7,567","21,905","2,306","1,480",
강원특별자치도,양양군,설악산국립공원(약수터),내국인,"144,473","144,473","4,212","3,626","3,042","7,365","11,964","10,680","12,900","12,602","11,065","50,772","12,870","3,375",
강원특별자치도,양양군,설악산국립공원(약수터),외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
강원특별자치도,양양군,설악산국립공원(약수터),합계,"144,473","144,473","4,212","3,626","3,042","7,365","11,964","10,680","12,900","12,602","11,065","50,772","12,870","3,375",
강원특별자치도,양양군,설악산국립공원(용소폭포),내국인,"34,427","34,427",922,780,330,130,"2,292","2,444","2,540","2,587","3,103","15,586","3,054",659,
강원특별자치도,양양군,설악산국립공원(용소폭포),외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
강원특별자치도,양양군,설악산국립공원(용소폭포),합계,"34,427","34,427",922,780,330,130,"2,292","2,444","2,540","2,587","3,103","15,586","3,054",659,
강원특별자치도,양양군,설해원,내국인,"209,352","209,352","8,130","10,833","14,783","19,000","24,000","20,000","23,039","22,576","18,818","18,715","18,179","11,279",
강원특별자치도,양양군,설해원,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
강원특별자치도,양양군,설해원,합계,"209,352","209,352","8,130","10,833","14,783","19,000","24,000","20,000","23,039","22,576","18,818","18,715","18,179","11,279",
강원특별자치도,양양군,오산리선사유적박물관,내국인,"54,630","54,630","4,189","4,626","2,283","3,655","5,511","5,271","5,821","6,634","3,784","5,682","3,659","3,515",
강원특별자치도,양양군,오산리선사유적박물관,외국인,40,40,0,0,6,0,8,0,9,0,9,8,0,0,
강원특별자치도,양양군,오산리선사유적박물관,합계,"54,670","54,670","4,189","4,626","2,289","3,655","5,519","5,271","5,830","6,634","3,793","5,690","3,659","3,515",
강원특별자치도,양양군,오색그린야드호텔 온천 이용객,내국인,"243,989","243,989","15,307","13,522","10,208","15,153","19,438","20,895","22,590","26,976","23,074","29,869","24,547","22,410",
강원특별자치도,양양군,오색그린야드호텔 온천 이용객,외국인,14,14,3,4,4,0,0,3,0,0,0,0,0,0,
강원특별자치도,양양군,오색그린야드호텔 온천 이용객,합계,"244,003","244,003","15,310","13,526","10,212","15,153","19,438","20,898","22,590","26,976","23,074","29,869","24,547","22,410",
