기준년월,기초지자체,카테고리중분류명,기초지자체 검색건수,기초지자체 전년도 검색건수
202201,양양군,전체,153015,99279
202201,양양군,자연관광,29037,21860
202201,양양군,역사관광,23594,16459
202201,양양군,체험관광,620,293
202201,양양군,문화관광,6915,4678
202201,양양군,레저스포츠,8829,6608
202201,양양군,쇼핑,3693,2107
202201,양양군,음식,39965,21463
202201,양양군,숙박,36532,23663
202201,양양군,기타관광,3830,2148
202202,양양군,전체,149773,162061
202202,양양군,자연관광,24430,33685
202202,양양군,역사관광,21932,26024
202202,양양군,체험관광,509,461
202202,양양군,문화관광,6705,7734
202202,양양군,레저스포츠,9258,12340
202202,양양군,쇼핑,3440,3455
202202,양양군,음식,42602,37224
202202,양양군,숙박,36731,38157
202202,양양군,기타관광,4166,2981
202203,양양군,전체,97753,100323
202203,양양군,자연관광,17576,20848
202203,양양군,역사관광,12438,14780
202203,양양군,체험관광,336,229
202203,양양군,문화관광,4053,4550
202203,양양군,레저스포츠,7631,8390
202203,양양군,쇼핑,2444,2438
202203,양양군,음식,26896,23168
202203,양양군,숙박,22991,23048
202203,양양군,기타관광,3388,2872
202204,양양군,전체,172117,143742
202204,양양군,자연관광,32412,29538
202204,양양군,역사관광,20018,19247
202204,양양군,체험관광,406,338
202204,양양군,문화관광,8876,6430
202204,양양군,레저스포츠,14305,13335
202204,양양군,쇼핑,4457,3836
202204,양양군,음식,45852,33307
202204,양양군,숙박,41530,33352
202204,양양군,기타관광,4261,4359
202205,양양군,전체,234156,197349
202205,양양군,자연관광,43499,40668
202205,양양군,역사관광,26457,26347
202205,양양군,체험관광,616,429
202205,양양군,문화관광,9217,7689
202205,양양군,레저스포츠,22549,19529
202205,양양군,쇼핑,5113,4517
202205,양양군,음식,63694,46260
202205,양양군,숙박,57382,46729
202205,양양군,기타관광,5629,5181
202206,양양군,전체,261278,214268
202206,양양군,자연관광,48897,46801
202206,양양군,역사관광,24145,22922
202206,양양군,체험관광,717,402
202206,양양군,문화관광,8413,7161
202206,양양군,레저스포츠,27195,25908
202206,양양군,쇼핑,5646,4417
202206,양양군,음식,70461,47925
202206,양양군,숙박,69279,53340
202206,양양군,기타관광,6525,5392
202207,양양군,전체,348643,288819
202207,양양군,자연관광,77639,68481
202207,양양군,역사관광,23917,22542
202207,양양군,체험관광,923,680
202207,양양군,문화관광,8236,7817
202207,양양군,레저스포츠,39578,35139
202207,양양군,쇼핑,6775,5312
202207,양양군,음식,93061,67515
202207,양양군,숙박,90502,75293
202207,양양군,기타관광,8012,6040
202208,양양군,전체,452588,336352
202208,양양군,자연관광,103987,85043
202208,양양군,역사관광,30843,27659
202208,양양군,체험관광,1256,959
202208,양양군,문화관광,11837,9637
202208,양양군,레저스포츠,50532,37546
202208,양양군,쇼핑,8750,6333
202208,양양군,음식,125898,78416
202208,양양군,숙박,110030,84572
202208,양양군,기타관광,9455,6187
202209,양양군,전체,211055,209038
202209,양양군,자연관광,42589,46457
202209,양양군,역사관광,21214,20780
202209,양양군,체험관광,603,545
202209,양양군,문화관광,6854,7564
202209,양양군,레저스포츠,21159,23214
202209,양양군,쇼핑,6004,5915
202209,양양군,음식,54576,47435
202209,양양군,숙박,51868,51471
202209,양양군,기타관광,6188,5657
202210,양양군,전체,266261,256387
202210,양양군,자연관광,57003,58487
202210,양양군,역사관광,31103,30683
202210,양양군,체험관광,1165,860
202210,양양군,문화관광,8904,10507
202210,양양군,레저스포츠,18700,21814
202210,양양군,쇼핑,8079,7079
202210,양양군,음식,67371,56705
202210,양양군,숙박,63336,61537
202210,양양군,기타관광,10600,8715
202211,양양군,전체,144871,161586
202211,양양군,자연관광,25053,29015
202211,양양군,역사관광,19781,22041
202211,양양군,체험관광,555,483
202211,양양군,문화관광,5663,7712
202211,양양군,레저스포츠,10436,13154
202211,양양군,쇼핑,4505,4202
202211,양양군,음식,37740,38707
202211,양양군,숙박,35736,40864
202211,양양군,기타관광,5402,5408
202212,양양군,전체,146364,147140
202212,양양군,자연관광,22629,24785
202212,양양군,역사관광,18497,18528
202212,양양군,체험관광,795,421
202212,양양군,문화관광,4621,5990
202212,양양군,레저스포츠,7550,9529
202212,양양군,쇼핑,4328,3582
202212,양양군,음식,41866,39717
202212,양양군,숙박,41233,40255
202212,양양군,기타관광,4845,4333
