기준연월,지역명,체류시간
202201,전국 기초지자체별 평균,223.0
202201,영덕군,281.0
202202,전국 기초지자체별 평균,212.0
202202,영덕군,255.0
202203,전국 기초지자체별 평균,215.0
202203,영덕군,255.0
202204,전국 기초지자체별 평균,199.0
202204,영덕군,265.0
202205,전국 기초지자체별 평균,191.0
202205,영덕군,259.0
202206,전국 기초지자체별 평균,206.0
202206,영덕군,283.0
202207,전국 기초지자체별 평균,214.0
202207,영덕군,323.0
202208,전국 기초지자체별 평균,210.0
202208,영덕군,305.0
202209,전국 기초지자체별 평균,213.0
202209,영덕군,299.0
202210,전국 기초지자체별 평균,191.0
202210,영덕군,252.0
202211,전국 기초지자체별 평균,196.0
202211,영덕군,255.0
202212,전국 기초지자체별 평균,204.0
202212,영덕군,295.0
