광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,남양주시,470298.0
경기도,성남시 분당구,252814.0
경기도,화성시,235442.0
경기도,의정부시,214697.0
경기도,부천시,212729.0
경기도,광주시,187581.0
경기도,하남시,187562.0
경기도,고양시 덕양구,175558.0
경기도,용인시 기흥구,173651.0
경기도,김포시,166160.0
경기도,파주시,145369.0
경기도,용인시 수지구,145137.0
경기도,구리시,131846.0
경기도,고양시 일산동구,128060.0
경기도,수원시 영통구,110286.0
경기도,평택시,109157.0
경기도,시흥시,106214.0
경기도,이천시,105880.0
경기도,수원시 권선구,105211.0
경기도,안양시 동안구,104431.0
경기도,양주시,103851.0
경기도,성남시 수정구,101589.0
경기도,고양시 일산서구,101159.0
경기도,용인시 처인구,98019.0
경기도,양평군,90282.0
경기도,포천시,85030.0
경기도,군포시,82417.0
경기도,안산시 단원구,74149.0
경기도,수원시 장안구,73849.0
경기도,안산시 상록구,72980.0
경기도,광명시,72370.0
경기도,성남시 중원구,70569.0
경기도,안양시 만안구,59110.0
경기도,오산시,56476.0
경기도,수원시 팔달구,54789.0
경기도,여주시,54438.0
경기도,가평군,53175.0
경기도,의왕시,52733.0
경기도,안성시,46663.0
경기도,동두천시,35178.0
경기도,과천시,34950.0
경기도,연천군,19373.0
강원특별자치도,속초시,1535318.0
강원특별자치도,강릉시,1243118.0
강원특별자치도,춘천시,390258.0
강원특별자치도,원주시,243503.0
강원특별자치도,고성군,212002.0
강원특별자치도,동해시,140470.0
강원특별자치도,인제군,133324.0
강원특별자치도,홍천군,92482.0
강원특별자치도,삼척시,76141.0
강원특별자치도,평창군,57501.0
강원특별자치도,횡성군,30380.0
강원특별자치도,정선군,26575.0
강원특별자치도,태백시,26531.0
강원특별자치도,양구군,26440.0
강원특별자치도,철원군,20319.0
강원특별자치도,화천군,17273.0
강원특별자치도,영월군,13823.0
서울특별시,송파구,339540.0
서울특별시,강남구,285470.0
서울특별시,강동구,248927.0
서울특별시,노원구,218817.0
서울특별시,서초구,193497.0
서울특별시,강서구,185628.0
서울특별시,성북구,175212.0
서울특별시,관악구,169887.0
서울특별시,광진구,165212.0
서울특별시,마포구,161953.0
서울특별시,중랑구,161798.0
서울특별시,은평구,160003.0
서울특별시,성동구,149725.0
서울특별시,동작구,140910.0
서울특별시,영등포구,140241.0
서울특별시,동대문구,137867.0
서울특별시,양천구,123319.0
서울특별시,서대문구,122965.0
서울특별시,도봉구,115922.0
서울특별시,용산구,111265.0
서울특별시,구로구,109739.0
서울특별시,강북구,103040.0
서울특별시,종로구,65280.0
서울특별시,중구,60841.0
서울특별시,금천구,54662.0
인천광역시,서구,157773.0
인천광역시,남동구,109797.0
인천광역시,부평구,104430.0
인천광역시,연수구,89548.0
인천광역시,미추홀구,74920.0
인천광역시,계양구,68446.0
