순위,분류,관련 키워드,언급건수
1,레포츠,서핑,21065
2,휴식/힐링,힐링,14522
3,레포츠,캠핑,9431
4,레포츠,낚시,4883
5,휴식/힐링,휴양,4444
6,레포츠,등산,4113
7,레포츠,빠지,4099
8,기타,투어,3588
9,레포츠,산행,2010
10,휴식/힐링,나들이,1947
11,레포츠,레저,1902
12,레포츠,차박,1743
13,기타,해외여행,1679
14,휴식/힐링,호캉스,1466
15,휴식/힐링,불멍,1372
16,레포츠,글램핑,1354
17,휴식/힐링,야영,1277
18,레포츠,스키,1207
19,레포츠,오토캠핑,1171
20,휴식/힐링,즐길거리,988
21,휴식/힐링,물멍,966
22,휴식/힐링,피크닉,954
23,레포츠,스노쿨링,928
24,레포츠,트레킹,852
25,미식,먹부림,792
26,휴식/힐링,워케이션,784
27,레포츠,스쿠버,759
28,휴식/힐링,바다멍,754
29,레포츠,스노클링,725
30,기타,답사,677
31,휴식/힐링,힐링여행,675
32,미식,카페투어,673
33,체험,템플스테이,655
34,미식,바베큐파티,631
35,레포츠,패들보드,582
36,휴식/힐링,신혼여행,571
37,레포츠,스쿠버다이빙,540
38,레포츠,카약,493
39,휴식/힐링,겨울여행,492
40,레포츠,해양레저,465
41,체험,수학여행,458
42,레포츠,레포츠,432
43,레포츠,트래킹,394
44,레포츠,바다낚시,384
45,휴식/힐링,우정여행,379
46,레포츠,해양스포츠,377
47,레포츠,스킨스쿠버,364
48,미식,맛집탐방,360
49,레포츠,수상레저,341
49,미식,맛집투어,341
51,레포츠,짚라인,323
52,레포츠,오프로드,308
52,체험,서핑체험,308
54,휴식/힐링,가을여행,303
55,기타,데이트코스,300
56,휴식/힐링,테라피,296
57,휴식/힐링,재충전,284
58,휴식/힐링,태교여행,283
59,체험,어촌체험,268
60,레포츠,캠핑족,254
61,레포츠,써핑,236
62,레포츠,노지캠핑,218
63,기타,제주여행,210
64,레포츠,백패킹,206
65,기타,부산여행,200
66,레포츠,레저스포츠,199
67,레포츠,래프팅,194
68,레포츠,감성캠핑,190
69,휴식/힐링,일광욕,188
70,기타,자유여행,181
71,레포츠,오픈워터,169
72,레포츠,클라이밍,164
73,레포츠,골프여행,160
73,휴식/힐링,단풍놀이,160
