순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,5134
2,레포츠,캠핑,2858
3,미식,식도락여행,2763
4,기타,투어,2212
5,휴식/힐링,나들이,1503
6,레포츠,낚시,1440
7,레포츠,빠지,1338
8,휴식/힐링,휴양,1095
9,레포츠,등산,1044
10,레포츠,차박,832
11,레포츠,오토캠핑,781
12,레포츠,서핑,732
13,레포츠,해양레저,712
14,휴식/힐링,야영,681
15,레포츠,레저,670
16,레포츠,트레킹,625
17,레포츠,산행,609
18,휴식/힐링,즐길거리,425
19,미식,맛집탐방,363
20,휴식/힐링,불멍,316
21,레포츠,스노클링,310
22,레포츠,스키,271
23,레포츠,글램핑,228
24,레포츠,스노쿨링,221
25,체험,어촌체험,220
26,휴식/힐링,물멍,208
27,휴식/힐링,바다멍,205
28,기타,데이트코스,196
29,기타,답사,190
30,휴식/힐링,피크닉,187
31,레포츠,트래킹,186
31,미식,먹부림,186
33,레포츠,캠핑족,176
34,휴식/힐링,힐링여행,170
35,휴식/힐링,겨울여행,162
36,휴식/힐링,워케이션,154
37,레포츠,노지캠핑,150
38,레포츠,골프여행,140
39,레포츠,알빙,134
40,레포츠,오프로드,133
41,기타,해외여행,128
42,레포츠,바다낚시,126
43,레포츠,스킨스쿠버,106
44,휴식/힐링,드라이브코스,103
44,휴식/힐링,재충전,103
46,휴식/힐링,호캉스,101
46,체험,농촌체험,101
48,레포츠,카약,99
49,체험,수학여행,95
50,레포츠,백패킹,94
51,기타,도보여행,93
52,휴식/힐링,신혼여행,91
52,레포츠,해양레포츠,91
54,레포츠,해양스포츠,85
54,휴식/힐링,테라피,85
56,레포츠,스쿠버,83
57,체험,vr체험,78
58,체험,갯벌체험,75
59,레포츠,클라이밍,71
60,휴식/힐링,가을여행,70
61,레포츠,수상레저,69
62,체험,카약체험,62
63,레포츠,패러글라이딩,61
64,레포츠,스쿠버다이빙,60
64,레포츠,캠프파이어,60
66,체험,해양체험,57
67,기타,걷기여행,53
67,레포츠,레포츠,53
67,미식,카페투어,53
70,기타,기차여행,52
71,레포츠,제트스키,49
72,미식,맛집투어,48
72,체험,목공예체험,48
74,미식,바베큐파티,44
74,휴식/힐링,일광욕,44
76,레포츠,패들보드,42
77,레포츠,골프투어,41
77,레포츠,암벽등반,41
77,휴식/힐링,촌캉스,41
80,레포츠,짚라인,40
80,휴식/힐링,생태관광,40
82,레포츠,감성캠핑,39
83,체험,생태체험,37
84,기타,스탬프투어,35
85,휴식/힐링,우정여행,34
85,레포츠,제트보트,34
87,기타,추억여행,33
87,체험,숲체험,33
89,기타,부산여행,32
89,체험,템플스테이,32
89,휴식/힐링,태교여행,32
92,레포츠,바나나보트,30
93,체험,시티투어,29
94,휴식/힐링,차크닉,28
94,기타,테마여행,28
94,체험,놀이체험,28
97,체험,한옥스테이,26
97,레포츠,민물낚시,26
99,기타,제주여행,24
99,휴식/힐링,즉흥여행,24
99,휴식/힐링,파도멍,24
102,미식,빵지순례,23
102,체험,서핑체험,23
102,휴식/힐링,단풍놀이,23
105,레포츠,게이트볼,22
106,체험,한옥체험,21
107,레포츠,루어낚시,20
107,미식,고기파티,20
107,미식,먹방여행,20
110,기타,일출여행,19
110,휴식/힐링,일출뷰,19
110,기타,배낭여행,19
110,체험,고택체험,19
114,휴식/힐링,봄여행,18
114,체험,농사체험,18
116,레포츠,카라반캠핑,17
117,기타,자전거여행,16
117,레포츠,캠프닉,16
117,체험,공예체험,16
120,레포츠,프리다이빙,15
121,휴식/힐링,온천여행,13
121,레포츠,수상스키,13
